,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4437,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1503,57,"
Chicken
",http://chubbygrub.com/food/baja-chicken-quesadilla-2/,95,Baja Chicken Quesadilla
4438,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,712,41,"
Appetizers
",http://chubbygrub.com/food/baja-chicken-tacos/,40,Baja Chicken Tacos
4439,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,465,32,"
Sides
",http://chubbygrub.com/food/baked-mac-n-cheese/,28,Baked Mac ‘n Cheese
4440,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,259,52,"
Sides
",http://chubbygrub.com/food/baked-potato-plain-2/,2,Baked Potato – Plain
4441,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,259,52,"
Sides
",http://chubbygrub.com/food/baked-potato-plain-3/,2,Baked Potato – Plain
4442,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,418,54,"
Sides
",http://chubbygrub.com/food/baked-potato-with-butter-and-sour-cream/,17,Baked Potato – with butter & sour cream
4443,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,295,16,"
Chicken
",http://chubbygrub.com/food/barbecue-grilled-chicken/,4,Barbecue Grilled Chicken
4444,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,390,25,"
Chicken
",http://chubbygrub.com/food/barbecue-grilled-chicken-fandt/,9,Barbecue Grilled Chicken – F&T
4445,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1007,58,"
Breakfast
",http://chubbygrub.com/food/bella-chicken-crepe/,58,Bella Chicken Crepê
4446,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1262,23,"
Breakfast
",http://chubbygrub.com/food/bella-chicken-omelet/,53,Bella Chicken Omelet
